time,fraction,energy
0.000000000000000000e+00,1.001995837763836397e-02,3.537393630456100890e+00
1.000000000000000021e-02,1.001946086036271423e-02,3.537060706143874356e+00
2.000000000000000042e-02,1.001898634328889787e-02,3.536744748327290022e+00
2.999999999999999889e-02,1.001853436791359624e-02,3.536444647824704024e+00
4.000000000000000083e-02,1.001810448533495615e-02,3.536159383617863750e+00
5.000000000000000278e-02,1.001769625601959569e-02,3.535888014136280955e+00
6.000000000000000472e-02,1.001730924957839643e-02,3.535629669622723625e+00
7.000000000000000666e-02,1.001694304455031347e-02,3.535383545408330441e+00
8.000000000000000167e-02,1.001659722819377672e-02,3.535148895962004545e+00
8.999999999999999667e-02,1.001627139628507267e-02,3.534925029604616409e+00
9.999999999999999167e-02,1.001596515292327121e-02,3.534711303797851478e+00
1.000000000000000056e-01,1.001596515292327121e-02,3.534711303797851478e+00
1.100000000000000006e-01,1.001567811034138195e-02,3.534507120932476543e+00
1.199999999999999956e-01,1.001540988872329750e-02,3.534311924552587136e+00
1.300000000000000044e-01,1.001516011602624108e-02,3.534125195962033228e+00
1.400000000000000133e-01,1.001492842780843558e-02,3.533946451166955161e+00
1.500000000000000222e-01,1.001471446706169582e-02,3.533775238114948536e+00
1.600000000000000311e-01,1.001451788404870459e-02,3.533611134196740000e+00
1.700000000000000400e-01,1.001433833614484223e-02,3.533453743980865092e+00
1.800000000000000488e-01,1.001417548768417098e-02,3.533302697155648264e+00
1.900000000000000577e-01,1.001402900980962254e-02,3.533157646656136741e+00
2.000000000000000111e-01,1.001389858032701932e-02,3.533018266956384767e+00
2.100000000000000200e-01,1.001378388356287397e-02,3.532884252509911338e+00
2.200000000000000289e-01,1.001368461022582139e-02,3.532755316323247019e+00
2.300000000000000377e-01,1.001360045727145258e-02,3.532631188649210330e+00
2.400000000000000466e-01,1.001353112777053286e-02,3.532511615788154646e+00
2.500000000000000555e-01,1.001347633078042421e-02,3.532396358986741980e+00
2.600000000000000644e-01,1.001343578121959010e-02,3.532285193424962610e+00
2.700000000000000733e-01,1.001340919974510850e-02,3.532177907283156060e+00
2.800000000000000822e-01,1.001339631263307300e-02,3.532074300881663298e+00
2.900000000000000910e-01,1.001339685166179917e-02,3.531974185886531004e+00
3.000000000000000444e-01,1.001341055399773347e-02,3.531877384575378809e+00
3.100000000000000533e-01,1.001343716208395913e-02,3.531783729158135543e+00
3.200000000000000622e-01,1.001347642353131798e-02,3.531693061147894053e+00
3.300000000000000711e-01,1.001352809101190705e-02,3.531605230777614679e+00
3.400000000000000799e-01,1.001359192215506289e-02,3.531520096458797386e+00
3.500000000000000888e-01,1.001366767944557486e-02,3.531437524278675966e+00
3.600000000000000977e-01,1.001375513012425257e-02,3.531357387532726655e+00
3.700000000000001066e-01,1.001385404609062175e-02,3.531279566289684979e+00
3.800000000000001155e-01,1.001396420380778161e-02,3.531203946986449793e+00
3.900000000000001243e-01,1.001408538420936120e-02,3.531130422050529738e+00
4.000000000000000222e-01,1.001421737260844297e-02,3.531058889547876500e+00
4.100000000000000311e-01,1.001435995860852808e-02,3.530989252854176641e+00
4.200000000000000400e-01,1.001451293601636483e-02,3.530921420347789663e+00
4.300000000000000488e-01,1.001467610275666963e-02,3.530855305122736709e+00
4.400000000000000577e-01,1.001484926078868333e-02,3.530790824720222432e+00
4.500000000000000666e-01,1.001503221602447098e-02,3.530727900877350667e+00
4.600000000000000755e-01,1.001522477824900483e-02,3.530666459291777137e+00
4.700000000000000844e-01,1.001542676104187277e-02,3.530606429401155211e+00
4.800000000000000933e-01,1.001563798170071462e-02,3.530547744176315117e+00
4.900000000000001021e-01,1.001585826116620226e-02,3.530490339927225829e+00
5.000000000000000000e-01,1.001608742394862611e-02,3.530434156120836331e+00
5.100000000000000089e-01,1.001632529805602037e-02,3.530379135209979591e+00
5.200000000000000178e-01,1.001657171492377658e-02,3.530325222472581181e+00
5.300000000000000266e-01,1.001682650934570921e-02,3.530272365860491757e+00
5.400000000000000355e-01,1.001708951940659051e-02,3.530220515857267927e+00
5.500000000000000444e-01,1.001736058641605059e-02,3.530169625344333983e+00
5.600000000000000533e-01,1.001763955484385148e-02,3.530119649474958266e+00
5.700000000000000622e-01,1.001792627225649678e-02,3.530070545555541894e+00
5.800000000000000711e-01,1.001822058925517893e-02,3.530022272933740268e+00
5.900000000000000799e-01,1.001852235941494765e-02,3.529974792892983437e+00
6.000000000000000888e-01,1.001883143922515686e-02,3.529928068552981024e+00
6.100000000000000977e-01,1.001914768803114156e-02,3.529882064775852424e+00
6.200000000000001066e-01,1.001947096797707951e-02,3.529836748077499031e+00
6.300000000000001155e-01,1.001980114395001169e-02,3.529792086543928509e+00
6.400000000000001243e-01,1.002013808352500597e-02,3.529748049752193584e+00
6.500000000000001332e-01,1.002048165691146915e-02,3.529704608695691359e+00
6.600000000000001421e-01,1.002083173690049983e-02,3.529661735713529591e+00
6.700000000000001510e-01,1.002118819881336192e-02,3.529619404423744555e+00
6.800000000000001599e-01,1.002155092045097472e-02,3.529577589660112480e+00
6.900000000000001688e-01,1.002191978204443681e-02,3.529536267412364037e+00
7.000000000000000666e-01,1.002229466620655624e-02,3.529495414769585171e+00
7.100000000000000755e-01,1.002267545788435195e-02,3.529455009866620419e+00
7.200000000000000844e-01,1.002306204431253726e-02,3.529415031833312177e+00
7.300000000000000933e-01,1.002345431496790354e-02,3.529375460746406734e+00
7.400000000000001021e-01,1.002385216152468402e-02,3.529336277583963177e+00
7.500000000000001110e-01,1.002425547781074511e-02,3.529297464182142186e+00
7.600000000000001199e-01,1.002466415976474394e-02,3.529259003194227251e+00
7.700000000000001288e-01,1.002507810539407518e-02,3.529220878051750443e+00
7.800000000000001377e-01,1.002549721473370084e-02,3.529183072927613907e+00
7.900000000000001465e-01,1.002592138980582318e-02,3.529145572701088529e+00
8.000000000000000444e-01,1.002635053458031389e-02,3.529108362924585407e+00
8.100000000000000533e-01,1.002678455493599512e-02,3.529071429792105974e+00
8.200000000000000622e-01,1.002722335862267153e-02,3.529034760109288182e+00
8.300000000000000711e-01,1.002766685522392745e-02,3.528998341264929728e+00
