x,y,data_set
0.0,319.094,free_energy
41.6667,175.655,free_energy
83.3333,140.518,free_energy
125.0,128.394,free_energy
166.667,121.085,free_energy
208.333,115.449,free_energy
250.0,110.879,free_energy
291.667,107.212,free_energy
333.333,104.281,free_energy
375.0,101.892,free_energy
416.667,99.8937,free_energy
458.333,98.1804,free_energy
500.0,96.6772,free_energy
541.667,95.3298,free_energy
583.333,94.0986,free_energy
625.0,92.9553,free_energy
666.667,91.8794,free_energy
708.333,90.8556,free_energy
750.0,89.8725,free_energy
791.667,88.9214,free_energy
833.333,87.9957,free_energy
875.0,87.0901,free_energy
916.667,86.2005,free_energy
958.333,85.3238,free_energy
1000.0,84.4573,free_energy
1041.67,83.599,free_energy
1083.33,82.7473,free_energy
1125.0,81.9009,free_energy
1166.67,81.0586,free_energy
1208.33,80.219,free_energy
1250.0,79.3812,free_energy
1291.67,78.5437,free_energy
1333.33,77.7047,free_energy
1375.0,76.8619,free_energy
1416.67,76.0122,free_energy
1458.33,75.1508,free_energy
1500.0,74.269,free_energy
1541.67,73.2982,free_energy
1583.33,71.4862,free_energy
1625.0,70.0146,free_energy
1666.67,68.6258,free_energy
1708.33,67.0055,free_energy
1750.0,64.9073,free_energy
1791.67,63.2528,free_energy
1833.33,62.6527,free_energy
1875.0,62.1135,free_energy
1916.67,61.5974,free_energy
1958.33,61.0992,free_energy
2000.0,60.6159,free_energy
2041.67,60.1456,free_energy
2083.33,59.6872,free_energy
2125.0,59.24,free_energy
2166.67,58.8041,free_energy
2208.33,58.3793,free_energy
2250.0,57.9658,free_energy
2291.67,57.564,free_energy
2333.33,57.1738,free_energy
2375.0,56.7954,free_energy
2416.67,56.4287,free_energy
2458.33,56.0735,free_energy
2500.0,55.7297,free_energy
2541.67,55.3968,free_energy
2583.33,55.0744,free_energy
2625.0,54.7619,free_energy
2666.67,54.4589,free_energy
2708.33,54.1648,free_energy
2750.0,53.8788,free_energy
2791.67,53.6006,free_energy
2833.33,53.3296,free_energy
2875.0,53.0652,free_energy
2916.67,52.8071,free_energy
2958.33,52.5548,free_energy
3000.0,52.3079,free_energy
3041.67,52.0663,free_energy
3083.33,51.8297,free_energy
3125.0,51.5979,free_energy
3166.67,51.3708,free_energy
3208.33,51.1483,free_energy
3250.0,50.9303,free_energy
3291.67,50.7168,free_energy
3333.33,50.5078,free_energy
3375.0,50.3033,free_energy
3416.67,50.1034,free_energy
3458.33,49.908,free_energy
3500.0,49.7172,free_energy
3541.67,49.531,free_energy
3583.33,49.3495,free_energy
3625.0,49.1726,free_energy
3666.67,49.0004,free_energy
3708.33,48.8328,free_energy
3750.0,48.6697,free_energy
3791.67,48.5112,free_energy
3833.33,48.3571,free_energy
3875.0,48.2073,free_energy
3916.67,48.0618,free_energy
3958.33,47.9204,free_energy
4000.0,47.7829,free_energy
4041.67,47.6493,free_energy
4083.33,47.5194,free_energy
4125.0,47.3931,free_energy
4166.67,47.2701,free_energy
